rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:09.68,486.82,105.96,875.0,-1.08,-0.32,1.79,-12.75,45.90,41.10,30.28,10.060,
01/01/2000,00:00:09.78,473.63,104.98,860.84,0.82,1.51,1.11,-13.20,47.40,41.40,29.80,10.059,
01/01/2000,00:00:09.88,489.26,105.96,869.63,-3.91,0.63,-1.33,-13.35,46.20,42.45,29.99,10.058,
01/01/2000,00:00:09.98,500.0,94.73,874.51,0.78,-2.24,1.65,-13.05,46.80,42.0,30.19,10.058,
01/01/2000,00:00:10.08,490.23,102.05,867.68,-1.60,2.12,-1.59,-13.05,45.75,43.80,29.90,10.057,
01/01/2000,00:00:10.18,489.75,95.70,877.93,1.03,-5.72,4.79,-12.60,43.80,43.35,30.33,10.056,
01/01/2000,00:00:10.28,491.21,94.73,865.23,0.60,0.52,3.08,-13.20,46.95,43.95,30.09,10.056,
01/01/2000,00:00:10.38,484.86,102.05,877.44,0.0,-1.89,0.76,-12.0,46.20,42.90,30.19,10.055,
01/01/2000,00:00:10.48,489.75,100.10,868.65,0.27,0.38,1.63,-14.10,46.50,43.35,30.19,10.055,
01/01/2000,00:00:10.58,495.61,89.36,874.51,0.29,-3.52,-0.06,-13.50,45.90,42.45,30.09,10.054,
01/01/2000,00:00:10.68,488.77,110.84,868.65,-1.79,1.55,1.23,-13.20,46.65,42.45,29.95,10.043,
01/01/2000,00:00:10.78,484.86,100.10,873.54,-0.02,-0.99,-0.05,-11.70,46.65,42.90,30.33,10.042,
01/01/2000,00:00:10.88,489.26,88.38,876.95,-1.05,2.83,-0.79,-12.45,45.90,42.15,29.95,10.042,
01/01/2000,00:00:10.99,494.63,110.35,872.07,-0.51,4.0,1.15,-12.30,46.50,40.95,30.09,10.041,
01/01/2000,00:00:11.09,499.02,100.10,872.56,0.02,-0.28,2.31,-13.35,46.05,42.75,30.09,10.041,
01/01/2000,00:00:11.19,493.65,101.56,875.0,1.13,5.20,-0.11,-13.20,46.65,41.85,29.95,10.041,
01/01/2000,00:00:11.29,479.98,95.70,869.14,-0.82,-1.98,2.53,-13.20,46.20,42.45,29.95,10.040,
01/01/2000,00:00:11.39,496.09,96.19,873.54,1.35,-3.54,1.37,-13.65,45.75,42.0,30.14,10.040,
01/01/2000,00:00:11.49,498.54,109.38,875.49,-0.07,0.11,1.06,-12.60,44.55,42.0,29.95,10.039,
01/01/2000,00:00:11.59,482.91,85.94,871.58,-2.19,2.27,-0.44,-13.20,46.65,43.95,29.95,10.039,
01/01/2000,00:00:11.69,484.38,95.21,859.86,0.99,-0.75,2.66,-12.0,45.90,42.90,30.19,10.039,
01/01/2000,00:00:11.79,485.84,91.80,872.56,-0.35,2.97,-1.66,-14.40,46.05,42.30,30.09,10.038,
01/01/2000,00:00:11.89,495.12,101.07,864.26,1.53,-1.37,-1.26,-13.20,45.90,43.20,29.99,10.038,
01/01/2000,00:00:11.99,479.00,98.14,864.75,-2.24,-1.43,-2.16,-12.0,45.90,42.15,30.33,10.038,
01/01/2000,00:00:12.09,490.23,99.61,867.68,-2.19,3.26,-1.60,-14.85,46.80,41.55,29.99,10.037,
01/01/2000,00:00:12.19,489.26,104.49,874.51,-0.91,2.66,0.40,-13.35,46.80,42.0,30.28,10.037,
01/01/2000,00:00:12.29,491.21,97.66,873.54,-3.21,2.44,0.15,-12.60,47.25,42.30,30.09,10.027,
01/01/2000,00:00:12.39,485.84,93.26,872.56,-3.52,4.26,-3.10,-12.30,46.50,43.05,30.28,10.027,
01/01/2000,00:00:12.49,470.70,91.31,864.26,-1.76,4.59,-2.65,-13.35,46.05,43.05,29.75,10.027,
01/01/2000,00:00:12.60,489.26,98.63,874.02,-1.98,2.05,-0.69,-14.25,45.15,42.45,30.14,10.027,
01/01/2000,00:00:12.70,483.40,85.94,881.84,-0.41,2.29,-0.62,-13.05,44.55,42.0,29.95,10.026,
01/01/2000,00:00:12.80,478.52,101.56,877.93,-2.09,4.20,-1.11,-12.30,46.50,42.75,30.33,10.026,
01/01/2000,00:00:12.90,489.26,93.26,881.84,-1.77,2.96,-2.49,-14.70,47.40,42.45,30.33,10.026,
01/01/2000,00:00:13.00,500.98,98.14,874.02,-3.31,2.05,-3.40,-12.0,47.40,41.40,30.19,10.026,
01/01/2000,00:00:13.10,490.72,93.75,875.0,-1.87,-1.45,0.87,-12.60,46.50,42.0,30.09,10.025,
01/01/2000,00:00:13.20,492.68,99.12,867.19,0.47,-0.11,-0.91,-13.50,46.95,42.45,30.33,10.025,
01/01/2000,00:00:13.30,483.89,95.21,871.09,-1.76,-0.72,-1.05,-12.60,46.50,41.55,30.28,10.025,
01/01/2000,00:00:13.40,489.75,98.14,883.79,-2.52,2.01,1.19,-12.45,46.20,42.45,29.95,10.025,
01/01/2000,00:00:13.50,490.23,106.93,866.21,0.50,-1.33,1.87,-13.05,45.75,42.0,30.33,10.025,
01/01/2000,00:00:13.60,483.40,97.66,857.91,-3.19,0.57,-0.20,-13.35,46.80,43.80,30.28,10.024,
01/01/2000,00:00:13.70,497.07,89.36,869.14,1.71,-1.08,1.63,-12.60,46.50,43.05,30.19,10.024,
01/01/2000,00:00:13.80,477.54,88.38,875.0,0.27,-0.01,1.16,-14.25,46.65,42.45,30.33,10.024,
01/01/2000,00:00:13.90,487.30,95.21,873.05,-3.65,2.47,0.63,-12.0,46.95,41.40,30.09,10.016,
01/01/2000,00:00:14.00,492.19,85.45,872.56,0.39,0.44,1.44,-13.65,46.80,44.10,30.14,10.016,
01/01/2000,00:00:14.10,475.10,84.47,875.98,-0.82,-2.29,1.35,-13.95,45.90,42.90,30.33,10.016,
01/01/2000,00:00:14.21,492.19,104.49,875.49,-1.72,1.39,3.08,-14.40,47.25,42.75,29.95,10.016,
01/01/2000,00:00:14.31,473.14,93.26,877.44,0.20,-2.03,0.42,-11.85,45.30,42.75,30.09,10.015,
01/01/2000,00:00:14.41,487.79,100.59,864.26,-0.60,-1.11,1.18,-13.95,46.20,41.40,30.14,10.015,
01/01/2000,00:00:14.51,492.19,106.93,870.12,0.40,-0.27,0.69,-13.95,45.15,41.85,30.33,10.015,
01/01/2000,00:00:14.61,492.68,98.63,872.56,-1.89,-0.57,0.98,-12.30,46.80,41.55,30.33,10.015,
01/01/2000,00:00:14.71,485.84,87.89,869.63,-2.63,3.28,-0.60,-12.45,46.20,40.65,30.43,10.015,
01/01/2000,00:00:14.81,487.79,87.89,870.61,0.48,-1.80,1.53,-13.50,45.45,41.85,29.90,10.015,
01/01/2000,00:00:14.91,497.07,98.14,881.35,-0.57,0.08,-0.01,-13.95,47.40,41.40,30.33,10.015,
01/01/2000,00:00:15.01,480.96,93.26,868.16,-2.07,4.41,1.25,-12.60,45.30,43.05,30.09,10.015,
01/01/2000,00:00:15.11,487.30,93.26,871.09,1.55,4.15,0.40,-14.10,45.30,42.0,29.95,10.015,
01/01/2000,00:00:15.21,488.28,99.12,873.54,2.05,2.53,3.76,-14.70,46.20,42.15,30.33,10.014,
01/01/2000,00:00:15.31,493.65,96.68,879.39,0.50,-0.53,2.98,-12.60,45.75,42.75,30.19,10.014,
01/01/2000,00:00:15.41,501.95,99.12,877.93,1.08,0.15,2.35,-13.95,46.20,42.15,30.19,10.014,
01/01/2000,00:00:15.51,481.93,108.89,880.86,-2.07,2.69,-1.67,-12.45,45.15,42.90,29.80,10.007,
01/01/2000,00:00:15.61,491.21,88.87,884.77,-3.59,-1.22,-1.11,-13.20,45.45,42.45,30.33,10.007,
01/01/2000,00:00:15.71,490.72,94.73,876.95,0.98,-1.99,2.03,-12.75,46.95,42.45,30.19,10.007,
01/01/2000,00:00:15.81,482.91,97.66,879.88,0.08,1.42,0.56,-12.75,45.45,41.85,30.33,10.007,
01/01/2000,00:00:15.92,483.40,93.26,885.74,-0.91,-0.92,0.50,-13.50,44.70,42.15,30.33,10.007,
01/01/2000,00:00:16.02,487.79,102.54,867.19,-1.91,-2.36,1.24,-13.95,46.20,42.45,29.99,10.007,
01/01/2000,00:00:16.12,490.23,106.93,876.95,-1.41,-0.63,1.65,-12.60,46.50,42.30,29.95,10.007,
01/01/2000,00:00:16.22,498.05,103.52,873.54,0.02,0.08,-0.74,-13.20,48.15,41.40,30.33,10.007,
01/01/2000,00:00:16.32,481.45,89.84,869.63,-2.64,-2.75,-5.20,-13.50,45.90,42.45,29.99,10.007,
01/01/2000,00:00:16.42,483.89,98.63,876.95,1.47,-4.21,3.97,-14.25,45.90,42.45,30.33,10.007,
01/01/2000,00:00:16.52,500.49,91.31,875.49,-2.07,-0.20,1.79,-13.35,46.05,42.0,30.33,10.007,
01/01/2000,00:00:16.62,505.37,109.86,858.40,2.11,-6.18,1.46,-13.20,46.65,42.15,30.43,10.007,
01/01/2000,00:00:16.72,498.54,112.79,859.38,0.13,-3.01,-2.10,-13.05,46.50,42.0,30.09,10.006,
01/01/2000,00:00:16.82,494.14,96.19,878.42,-1.93,0.71,-3.65,-13.95,47.40,42.90,30.33,10.006,
01/01/2000,00:00:16.92,484.38,97.17,878.91,-3.46,3.92,-1.75,-14.25,45.45,43.20,30.33,10.006,
01/01/2000,00:00:17.02,477.05,95.70,872.07,-3.15,10.22,-3.08,-13.95,45.15,41.10,29.99,10.006,
01/01/2000,00:00:17.12,491.21,104.98,881.35,1.62,2.16,1.65,-14.10,44.85,42.0,30.62,10.006,
01/01/2000,00:00:17.22,482.42,93.26,877.93,0.38,-2.30,3.57,-12.75,46.20,42.15,30.33,10.0,
01/01/2000,00:00:17.32,484.38,103.52,876.46,-0.78,1.95,0.47,-14.10,44.10,41.25,30.09,10.0,
01/01/2000,00:00:17.42,503.91,104.98,880.86,-1.45,0.07,3.63,-13.05,46.05,42.75,30.09,10.0,
01/01/2000,00:00:17.53,486.82,104.98,867.19,-0.25,0.85,0.08,-13.65,44.85,42.30,30.62,10.0,
01/01/2000,00:00:17.63,492.19,98.63,875.98,0.63,-0.18,2.50,-14.10,46.50,43.35,30.47,10.0,
01/01/2000,00:00:17.73,500.98,91.80,874.51,-2.76,0.48,-1.02,-13.05,45.30,41.55,30.19,10.0,
01/01/2000,00:00:17.83,494.14,101.07,866.70,0.03,-2.35,0.84,-10.80,45.75,40.95,30.47,10.0,
01/01/2000,00:00:17.93,500.0,101.07,872.07,1.68,-1.01,1.03,-13.65,45.30,42.30,30.33,10.0,
01/01/2000,00:00:18.03,491.21,104.49,860.84,0.83,-0.64,-0.47,-13.95,45.45,43.20,30.28,10.0,
01/01/2000,00:00:18.13,490.72,84.96,862.30,-0.94,-0.59,1.64,-13.65,45.75,43.35,29.90,10.0,
01/01/2000,00:00:18.23,492.68,114.75,865.23,-1.52,3.34,3.76,-12.30,46.80,41.25,30.43,10.0,
01/01/2000,00:00:18.33,485.84,104.49,879.39,-2.63,4.87,-1.52,-12.60,46.05,42.0,30.47,10.0,
01/01/2000,00:00:18.43,490.72,107.42,876.95,-1.38,2.15,-0.50,-13.35,45.30,41.55,30.47,10.0,
01/01/2000,00:00:18.53,493.65,105.96,878.42,-2.09,3.15,2.55,-14.25,46.20,42.15,30.52,10.0,
01/01/2000,00:00:18.63,478.52,104.00,876.46,-0.33,5.82,-1.16,-13.50,47.70,42.15,30.33,10.0,
01/01/2000,00:00:18.73,479.49,92.29,879.88,1.60,2.28,1.88,-12.60,46.05,42.0,30.28,10.0,
01/01/2000,00:00:18.83,481.45,108.89,884.77,1.95,2.08,1.42,-14.10,44.85,42.75,30.09,9.994,
01/01/2000,00:00:18.93,489.26,89.84,873.05,-1.12,0.55,-2.82,-13.65,46.80,43.80,30.52,9.994,
01/01/2000,00:00:19.03,481.93,100.10,886.23,1.12,0.50,1.61,-13.95,46.20,41.85,30.33,9.994,
